Company,Location,# Laid Off,Date,%,Industry,Source,Stage,$ Raised,Country,Date Added
Lucid Diagnostics,New York,,1/18/2023,20%,Healthcare,https://www.genome...,Post-IPO,,United States,1/25/2023
Unity,SF Bay Area,,1/17/2023,3%,Other,https://www.wsj.com...,Post-IPO,"$1,300 ",United States,1/17/2023
RingCentral,SF Bay Area,30,1/17/2023,,Support,https://www.channelf...,Post-IPO,$44 ,United States,1/17/2023
LiveVox,SF Bay Area,,1/17/2023,16%,Finance,https://www.marketw...,Post-IPO,$12 ,United States,1/20/2023
Lending Club,SF Bay Area,225,1/12/2023,14%,Healthcare,https://www.bloombe...,Post-IPO,"$1,300 ",United States,1/12/2023
Definitive Health,Boston,55,1/12/2023,6%,Healthcare,https://www.cmlviz.co...,Post-IPO,,United States,1/12/2023
Akili Labs,Boston,46,1/12/2023,30%,Healthcare,https://bhbusiness.co...,Post-IPO,$392 ,United States,1/14/2023
Life360,SF Bay Area,,1/12/2023,14%,Consumer,https://investors.life3...,Post-IPO,$301 ,United States,1/12/2023
Qualtrics,Salt Lake City,270,1/11/2023,5%,Other,https://www.marketw...,Post-IPO,$158 ,United States,1/12/2023
HashiCorp,SF Bay Area,69,1/11/2023,,Security,https://www.linkedin...,Post-IPO,$400 ,United States,1/12/2023
Coinbase,SF Bay Area,950,1/10/2023,20%,Crypto,https://www.cnbc.co...,Post-IPO,$349 ,United States,1/10/2023
Informatica,SF Bay Area,450,1/10/2023,7%,Data,https://www.channelf...,Post-IPO,$549 ,United States,1/10/2023
Blend,SF Bay Area,340,1/10/2023,28%,Finance,,Post-IPO,$665 ,United States,1/10/2023
Fate Therapeutics,San Diego,315,1/9/2023,57%,Healthcare,,Post-IPO,"$1,200 ",United States,1/12/2023
Avaya,Durham,180,8/1/2024,3%,Other,https://www.uctoday.com,Post-IPO,$700 ,United States,11/8/2024
Match Group,New York,,7/31/2024,6%,Consumer,https://www.techcrunch.com,Post-IPO,$105 ,United States,8/1/2024
NerdWallet,SF Bay Area,,7/30/2024,15%,Finance,https://www.marketwatch.com,Post-IPO,$65 ,United States,7/31/2024
Salesforce,SF Bay Area,300,7/15/2024,,Sales,https://www.bloomberg.com,Post-IPO,$18 ,United States,7/15/2024
Intuit,SF Bay Area,1800,7/10/2024,10%,Finance,https://www.bloomberg.com,Post-IPO,"$2,000 ",United States,7/10/2024
UIPath,New York,420,7/9/2024,10%,Other,https://www.cnbc.com,Post-IPO,$574 ,United States,7/10/2024
Planet,SF Bay Area,180,6/26/2024,17%,Aerospace,https://spacenews.com,Post-IPO,"$1,600 ",United States,6/28/2024
Ginkgo Bioworks,Boston,400,6/20/2024,35%,Healthcare,https://www.bostonglobe.com,Post-IPO,$400 ,United States,6/23/2024
Wex,Portland,375,6/18/2024,5%,Finance,https://www.wsj.com,Post-IPO,"$1,700 ",United States,6/23/2024
Fisker,Los Angeles,,6/17/2024,100%,Transportation,https://www.businessinsider.com,Post-IPO,$227 ,United States,6/19/2024
Chegg,SF Bay Area,441,6/5/2024,23%,Education,https://www.investing.com,Post-IPO,$117 ,United States,6/19/2024
Yext,New York,,6/3/2024,12%,Marketing,https://www.theverge.com,Post-IPO,$1 ,United States,6/5/2024
Microsoft,Seattle,1000,5/31/2024,,Other,https://electrek.co,Post-IPO,$26 ,United States,6/3/2024
Google,SF Bay Area,100,5/24/2024,,Consumer,https://www.fiercebiotech.com,Post-IPO,"$8,300 ",United States,6/1/2024
Lucid Motors,SF Bay Area,400,5/22/2024,6%,Transportation,https://www.sfchronicle.com,Post-IPO,$899 ,United States,5/24/2024
Cue Health,San Diego,180,5/10/2024,100%,Healthcare,https://skift.com,Post-IPO,"$10,700 ",United States,5/23/2024
